provider,sample,source,emotion,alpha,duration,rms,peak,lufs,f0_mean,f0_std,spec_centroid,spec_rolloff,zcr,sync_c,sync_d,nat_sync_c,nat_sync_d,filepath
dashscope_vc,6,r2,,,5.36,0.030184,0.1962,-30.74,228.2,18.7,1540.0,2806.0,0.113586,5.174,10.351,5.577,8.276,tmp/r2_tts/dashscope_vc/6.wav
dashscope_vc,7,r2,,,4.64,0.039129,0.2674,-28.42,235.4,21.0,1738.0,3285.0,0.135267,7.361,8.111,6.504,7.284,tmp/r2_tts/dashscope_vc/7.wav
dashscope_vc,8,r2,,,5.36,0.037973,0.1824,-28.58,234.1,35.3,1706.0,3203.0,0.119684,6.46,7.822,5.839,8.318,tmp/r2_tts/dashscope_vc/8.wav
dashscope_vc,9,r2,,,4.4,0.024418,0.1382,-32.51,233.1,20.6,1847.0,3429.0,0.138265,6.086,8.042,6.518,6.863,tmp/r2_tts/dashscope_vc/9.wav
faster_qwen3,1,r2,,,5.36,0.010997,0.0854,-39.0,230.9,18.3,1765.0,3520.0,0.125381,6.258,7.625,4.8,8.369,tmp/r2_tts/faster_qwen3/1.wav
faster_qwen3,10,r2,,,5.44,0.01485,0.0846,-36.73,217.8,53.2,1475.0,2857.0,0.098047,7.227,6.942,5.407,8.108,tmp/r2_tts/faster_qwen3/10.wav
faster_qwen3,11,r2,,,5.52,0.014159,0.0884,-37.12,233.4,22.2,1382.0,2751.0,0.090442,6.283,7.901,5.809,8.117,tmp/r2_tts/faster_qwen3/11.wav
faster_qwen3,12,r2,,,6.08,0.010854,0.0591,-39.36,210.9,52.4,1478.0,3031.0,0.091247,7.82,6.865,7.123,7.082,tmp/r2_tts/faster_qwen3/12.wav
faster_qwen3,13,r2,,,7.36,0.011775,0.0656,-38.62,231.8,28.7,1318.0,2719.0,0.075701,4.759,8.079,4.413,8.6,tmp/r2_tts/faster_qwen3/13.wav
faster_qwen3,2,r2,,,5.68,0.01198,0.0683,-37.88,231.2,14.8,1604.0,3190.0,0.116557,7.265,7.19,5.547,8.66,tmp/r2_tts/faster_qwen3/2.wav
faster_qwen3,3,r2,,,4.88,0.008235,0.0481,-41.91,204.2,48.6,1730.0,3443.0,0.12147,7.48,7.131,6.24,7.666,tmp/r2_tts/faster_qwen3/3.wav
faster_qwen3,4,r2,,,5.6,0.010745,0.0713,-39.59,219.9,46.6,1393.0,2773.0,0.090224,6.929,7.835,5.217,9.335,tmp/r2_tts/faster_qwen3/4.wav
faster_qwen3,5,r2,,,5.44,0.010126,0.0667,-39.65,216.6,52.4,1499.0,3038.0,0.103464,6.073,8.086,4.982,8.51,tmp/r2_tts/faster_qwen3/5.wav
faster_qwen3,6,r2,,,5.52,0.007138,0.0427,-43.11,212.3,61.5,1276.0,2581.0,0.075415,5.931,7.973,5.473,8.435,tmp/r2_tts/faster_qwen3/6.wav
faster_qwen3,7,r2,,,4.64,0.012033,0.0669,-38.71,215.2,49.1,1530.0,3031.0,0.101666,6.26,7.942,6.595,7.32,tmp/r2_tts/faster_qwen3/7.wav
faster_qwen3,8,r2,,,5.44,0.015677,0.1437,-38.07,211.7,52.1,1325.0,2798.0,0.075578,7.942,6.86,6.022,8.239,tmp/r2_tts/faster_qwen3/8.wav
faster_qwen3,9,r2,,,3.92,0.011572,0.0666,-39.34,215.7,50.9,1387.0,2785.0,0.081198,,,6.204,6.967,tmp/r2_tts/faster_qwen3/9.wav
siliconflow,1,r2,,,6.12,0.012456,0.1003,-37.64,216.1,63.2,1648.0,3246.0,0.107496,6.502,7.487,4.84,8.445,tmp/r2_tts/siliconflow/1.wav
siliconflow,10,r2,,,11.8,0.018306,0.1651,-31.93,166.4,90.3,1356.0,2984.0,0.068714,3.944,6.338,5.686,7.927,tmp/r2_tts/siliconflow/10.wav
siliconflow,11,r2,,,6.64,0.013542,0.1007,-37.33,228.4,47.5,1320.0,2618.0,0.08224,6.42,7.878,5.746,8.05,tmp/r2_tts/siliconflow/11.wav
siliconflow,12,r2,,,7.72,0.010803,0.076,-39.39,227.7,15.1,1530.0,2911.0,0.103669,7.863,6.789,7.136,7.044,tmp/r2_tts/siliconflow/12.wav
siliconflow,13,r2,,,7.64,0.012041,0.078,-38.32,254.7,79.1,1428.0,2876.0,0.084183,5.05,8.753,4.336,8.891,tmp/r2_tts/siliconflow/13.wav
siliconflow,2,r2,,,4.76,0.014869,0.0888,-36.94,236.4,15.8,1604.0,3087.0,0.107261,8.2,7.115,5.323,8.739,tmp/r2_tts/siliconflow/2.wav
siliconflow,3,r2,,,4.88,0.009409,0.0597,-40.95,235.1,40.0,1700.0,3343.0,0.107901,7.361,7.185,6.153,7.826,tmp/r2_tts/siliconflow/3.wav
siliconflow,4,r2,,,5.36,0.010755,0.0631,-39.9,230.5,17.6,1445.0,2900.0,0.089576,6.994,8.275,5.398,9.251,tmp/r2_tts/siliconflow/4.wav
siliconflow,5,r2,,,6.2,0.010631,0.08,-39.61,229.6,62.2,1409.0,2733.0,0.092529,7.267,7.333,5.089,8.305,tmp/r2_tts/siliconflow/5.wav
siliconflow,6,r2,,,5.84,0.00888,0.0598,-41.28,209.2,67.4,1313.0,2570.0,0.085921,5.687,8.922,5.317,8.527,tmp/r2_tts/siliconflow/6.wav
siliconflow,7,r2,,,4.64,0.013271,0.0902,-37.79,235.7,32.1,1564.0,2992.0,0.09874,7.363,7.148,6.465,7.309,tmp/r2_tts/siliconflow/7.wav
siliconflow,8,r2,,,6.04,0.017952,0.1119,-34.84,228.8,57.3,1253.0,2505.0,0.067403,6.418,7.461,5.853,8.331,tmp/r2_tts/siliconflow/8.wav
siliconflow,9,r2,,,5.0,0.011781,0.0591,-38.62,210.5,60.8,1354.0,2601.0,0.078128,6.739,6.959,6.281,6.955,tmp/r2_tts/siliconflow/9.wav
