run_id,provider,sample,condition,sync_c,sync_d,src_round
r4_bothnorm_emo_disgusted,emo_disgusted_bothnorm,4,tts_raw,5.783,8.897,r4
r4_bothnorm_emo_disgusted,emo_disgusted_bothnorm,7,tts_raw,5.686,7.693,r4
r4_bothnorm_emo_disgusted,emo_disgusted_bothnorm,10,tts_raw,5.541,7.945,r4
r4_bothnorm_emo_disgusted,emo_disgusted_bothnorm,13,tts_raw,7.586,7.4,r4
r4_durnorm_emo_disgusted,emo_disgusted_durnorm,1,tts_raw,5.686,7.778,r4
r4_durnorm_emo_disgusted,emo_disgusted_durnorm,4,tts_raw,6.008,8.917,r4
r4_durnorm_emo_disgusted,emo_disgusted_durnorm,7,tts_raw,5.289,7.937,r4
r4_durnorm_emo_disgusted,emo_disgusted_durnorm,10,tts_raw,5.695,7.854,r4
r4_durnorm_emo_disgusted,emo_disgusted_durnorm,13,tts_raw,7.214,7.555,r4
r4_loudnorm_emo_disgusted,emo_disgusted_loudnorm,1,tts_raw,5.758,7.678,r4
r4_loudnorm_emo_disgusted,emo_disgusted_loudnorm,4,tts_raw,5.791,9.023,r4
r4_loudnorm_emo_disgusted,emo_disgusted_loudnorm,7,tts_raw,5.549,7.746,r4
r4_loudnorm_emo_disgusted,emo_disgusted_loudnorm,10,tts_raw,5.561,7.961,r4
r4_loudnorm_emo_disgusted,emo_disgusted_loudnorm,13,tts_raw,7.553,7.451,r4
r4_bothnorm_emo_happy,emo_happy_bothnorm,1,tts_raw,4.319,8.919,r4
r4_bothnorm_emo_happy,emo_happy_bothnorm,4,tts_raw,5.625,8.867,r4
r4_bothnorm_emo_happy,emo_happy_bothnorm,7,tts_raw,5.943,7.983,r4
r4_bothnorm_emo_happy,emo_happy_bothnorm,10,tts_raw,5.49,7.986,r4
r4_bothnorm_emo_happy,emo_happy_bothnorm,13,tts_raw,6.619,7.045,r4
r4_durnorm_emo_happy,emo_happy_durnorm,1,tts_raw,4.16,9.296,r4
r4_durnorm_emo_happy,emo_happy_durnorm,4,tts_raw,5.43,8.842,r4
r4_durnorm_emo_happy,emo_happy_durnorm,7,tts_raw,5.903,7.936,r4
r4_durnorm_emo_happy,emo_happy_durnorm,10,tts_raw,5.489,7.989,r4
r4_durnorm_emo_happy,emo_happy_durnorm,13,tts_raw,6.803,7.244,r4
r4_loudnorm_emo_happy,emo_happy_loudnorm,1,tts_raw,4.476,8.888,r4
r4_loudnorm_emo_happy,emo_happy_loudnorm,4,tts_raw,5.609,8.667,r4
r4_loudnorm_emo_happy,emo_happy_loudnorm,7,tts_raw,5.824,8.078,r4
r4_loudnorm_emo_happy,emo_happy_loudnorm,10,tts_raw,5.595,7.942,r4
r4_loudnorm_emo_happy,emo_happy_loudnorm,13,tts_raw,6.551,7.196,r4
r4_bothnorm_emo_melancholic,emo_melancholic_bothnorm,1,tts_raw,4.876,8.415,r4
r4_bothnorm_emo_melancholic,emo_melancholic_bothnorm,4,tts_raw,4.414,9.757,r4
r4_bothnorm_emo_melancholic,emo_melancholic_bothnorm,7,tts_raw,4.845,8.237,r4
r4_bothnorm_emo_melancholic,emo_melancholic_bothnorm,10,tts_raw,4.761,8.011,r4
r4_bothnorm_emo_melancholic,emo_melancholic_bothnorm,13,tts_raw,5.767,7.637,r4
r4_durnorm_emo_melancholic,emo_melancholic_durnorm,1,tts_raw,3.826,8.319,r4
r4_durnorm_emo_melancholic,emo_melancholic_durnorm,4,tts_raw,4.107,9.535,r4
r4_durnorm_emo_melancholic,emo_melancholic_durnorm,7,tts_raw,4.067,7.964,r4
r4_durnorm_emo_melancholic,emo_melancholic_durnorm,10,tts_raw,4.336,7.412,r4
r4_durnorm_emo_melancholic,emo_melancholic_durnorm,13,tts_raw,4.827,7.485,r4
r4_loudnorm_emo_melancholic,emo_melancholic_loudnorm,1,tts_raw,4.75,8.474,r4
r4_loudnorm_emo_melancholic,emo_melancholic_loudnorm,4,tts_raw,4.193,9.913,r4
r4_loudnorm_emo_melancholic,emo_melancholic_loudnorm,7,tts_raw,4.931,8.1,r4
r4_loudnorm_emo_melancholic,emo_melancholic_loudnorm,10,tts_raw,4.749,7.916,r4
r4_loudnorm_emo_melancholic,emo_melancholic_loudnorm,13,tts_raw,5.897,7.539,r4
r4_bothnorm_emo_sad,emo_sad_bothnorm,1,tts_raw,3.589,8.61,r4
r4_bothnorm_emo_sad,emo_sad_bothnorm,4,tts_raw,4.348,9.308,r4
r4_bothnorm_emo_sad,emo_sad_bothnorm,7,tts_raw,3.89,8.323,r4
r4_bothnorm_emo_sad,emo_sad_bothnorm,10,tts_raw,4.628,8.264,r4
