provider,sample,run_id,src_round,emotion,alpha,norm_type,orig_provider,sync_c,sync_d,nat_sync_c,nat_sync_d,filepath,duration,rms,peak,lufs,lra,energy_env_std,energy_env_smoothness,silence_ratio,f0_mean,f0_std,f0_range,spec_centroid,spec_centroid_std,spec_rolloff,spec_bandwidth,spec_bandwidth_std,spec_flatness,spec_flatness_std,spec_flux,zcr_mean,zcr_std,onset_mean,onset_std,f1,f2,f3,hf_ratio,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
fish_durnorm,6,r4_durnorm_fish,r4,,,durnorm,fish,6.166,8.766,5.446,8.451,runs/r4_durnorm_fish/02_tts/6.wav,5.477,0.151587,0.8792,-16.86,,0.073725,0.030555,0.0,221.8,21.9,102.9,1498.0,782.0,2900.0,1564.0,441.0,0.01366,0.027018,0.4938,0.098332,0.066321,2.3263,2.9627,388.4,997.1,1217.4,0.3004,-205.04676818847656,97.47332763671875,86.88573455810547,42.86531066894531,-4.261358737945557,28.892257690429688,12.563419342041016,29.415956497192383,-13.713019371032715,21.883182525634766,-6.609373092651367,17.212299346923828,-23.915719985961914,13.779614448547363,-22.093996047973633,12.030563354492188,-21.62190055847168,11.594317436218262,-3.424316167831421,11.039633750915527,-19.549415588378906,9.770075798034668,-0.2390565425157547,8.110355377197266,-12.586394309997559,7.884190082550049
fish_durnorm,7,r4_durnorm_fish,r4,,,durnorm,fish,6.64,7.898,6.582,7.224,runs/r4_durnorm_fish/02_tts/7.wav,5.0126,0.172109,0.8968,-15.35,,0.092837,0.033258,0.0,231.2,18.0,72.2,1584.0,723.0,3100.0,1610.0,447.0,0.013312,0.024916,0.5843,0.10801,0.055139,2.2841,2.5797,453.5,1299.4,1786.7,0.2992,-193.5841522216797,98.4820556640625,80.72285461425781,42.35276412963867,-5.145383358001709,34.569236755371094,7.676851272583008,32.51782989501953,-14.385866165161133,23.613740921020508,-2.2502620220184326,15.789261817932129,-26.66458511352539,17.46307373046875,-20.925886154174805,12.101239204406738,-18.979310989379883,12.878684997558594,0.403581827878952,15.877114295959473,-16.51691246032715,9.123700141906738,-0.5540152788162231,12.906530380249023,-6.052333831787109,9.16218376159668
fish_durnorm,8,r4_durnorm_fish,r4,,,durnorm,fish,5.831,8.506,5.728,8.418,runs/r4_durnorm_fish/02_tts/8.wav,5.1055,0.15862,0.7691,-16.21,,0.075851,0.026619,0.0,226.6,27.0,191.3,1590.0,906.0,3103.0,1607.0,542.0,0.010668,0.022943,0.5271,0.101556,0.071936,2.2252,2.0566,439.4,1254.6,1870.3,0.2851,-212.9652557373047,92.55479431152344,85.4095687866211,49.984004974365234,-1.8074302673339844,35.885986328125,4.159563064575195,29.117509841918945,-14.486501693725586,26.486003875732422,-4.257793426513672,17.69795799255371,-23.571197509765625,13.163664817810059,-17.503246307373047,12.959676742553711,-22.039592742919922,13.44025993347168,3.29790997505188,12.020049095153809,-18.01205062866211,8.0044527053833,3.948953151702881,9.974672317504883,-9.167154312133789,8.262438774108887
fish_durnorm,9,r4_durnorm_fish,r4,,,durnorm,fish,,,6.191,6.931,runs/r4_durnorm_fish/02_tts/9.wav,3.898,0.137249,0.8077,-17.85,,0.067892,0.027828,0.0,224.9,16.0,69.5,1718.0,1016.0,3306.0,1697.0,467.0,0.013374,0.025127,0.4576,0.119889,0.105162,2.1613,1.8924,421.5,1293.1,2072.7,0.3833,-207.24295043945312,81.06315612792969,75.68314361572266,49.91252899169922,7.399662971496582,32.602752685546875,10.244041442871094,28.360233306884766,-12.740381240844727,19.90666389465332,-5.177178382873535,18.26129150390625,-21.379562377929688,13.841222763061523,-28.18769073486328,12.658904075622559,-22.460519790649414,10.189359664916992,-1.3401328325271606,9.717440605163574,-21.463571548461914,8.763847351074219,5.170639514923096,8.42021656036377,-10.426875114440918,7.3044586181640625
gsv_durnorm,1,r4_durnorm_gsv,r4,,,durnorm,gsv,5.015,8.408,4.696,8.648,runs/r4_durnorm_gsv/02_tts/1.wav,5.74,0.007602,0.0656,-42.3,,0.004635,0.00158,0.061111,231.9,15.9,93.4,1811.0,1131.0,3383.0,1568.0,598.0,0.06254,0.204981,0.0288,0.132522,0.131025,2.45,2.6223,444.0,958.3,1737.0,0.4459,-508.48968505859375,107.48603057861328,69.19417572021484,56.06203842163086,-3.295138120651245,47.6723747253418,27.830461502075195,35.6080436706543,-14.57569694519043,28.692821502685547,-4.64591121673584,18.45380973815918,-18.726383209228516,16.690675735473633,-13.225303649902344,12.436616897583008,-18.12914276123047,11.077570915222168,5.221127510070801,9.570093154907227,-15.20100212097168,9.790650367736816,5.042154312133789,7.156805038452148,-4.524611949920654,6.807750225067139
gsv_durnorm,10,r4_durnorm_gsv,r4,,,durnorm,gsv,6.579,6.685,5.408,8.018,runs/r4_durnorm_gsv/02_tts/10.wav,5.54,0.006133,0.0463,-43.84,,0.003405,0.001109,0.086207,208.0,55.8,228.0,1634.0,1039.0,3137.0,1493.0,679.0,0.061837,0.208561,0.0225,0.132218,0.104246,2.0726,2.0473,415.3,893.7,1652.7,0.3351,-539.9180908203125,133.81764221191406,80.88441467285156,58.044918060302734,-11.092652320861816,53.864524841308594,22.837011337280273,31.009178161621094,-12.52792739868164,22.14243507385254,-9.490797996520996,16.767688751220703,-13.288790702819824,14.878952980041504,-5.67612886428833,11.56280517578125,-22.463708877563477,15.753778457641602,10.845599174499512,8.783855438232422,-10.846500396728516,10.665610313415527,6.604711055755615,6.176896095275879,-3.1694180965423584,7.185232639312744
gsv_durnorm,11,r4_durnorm_gsv,r4,,,durnorm,gsv,5.318,7.799,6.067,7.859,runs/r4_durnorm_gsv/02_tts/11.wav,9.74,0.009967,0.1001,-39.41,8.39,0.007199,0.001969,0.036066,209.5,68.5,246.2,1319.0,790.0,2621.0,1464.0,531.0,0.041624,0.17797,0.0257,0.080735,0.074262,1.9352,2.3567,487.1,571.6,1121.4,0.2378,-547.7659912109375,120.58758544921875,72.23346710205078,50.19631576538086,2.942458391189575,41.39382553100586,21.097394943237305,29.216548919677734,-11.449471473693848,28.45596694946289,2.219646453857422,18.187057495117188,-7.40243673324585,17.598630905151367,-9.896442413330078,17.137351989746094,-12.197835922241211,15.591312408447266,4.705872058868408,9.127492904663086,-6.252172946929932,12.257885932922363,7.472259044647217,7.186257839202881,-3.032529830932617,8.31666088104248
gsv_durnorm,12,r4_durnorm_gsv,r4,,,durnorm,gsv,7.288,6.67,7.344,6.915,runs/r4_durnorm_gsv/02_tts/12.wav,10.02,0.007863,0.0588,-41.61,2.34,0.005063,0.001734,0.050955,208.7,65.0,254.9,1520.0,987.0,2965.0,1489.0,565.0,0.042784,0.175663,0.0262,0.104705,0.100776,2.1517,2.7229,461.4,1156.5,1987.0,0.3243,-532.5376586914062,119.94485473632812,73.50408935546875,51.464744567871094,-2.754960060119629,48.84025192260742,27.66163444519043,31.756614685058594,-14.478941917419434,27.532756805419922,-2.6684529781341553,14.448837280273438,-9.562641143798828,15.013033866882324,-9.04107666015625,13.26363754272461,-15.729936599731445,14.673819541931152,5.036947727203369,8.249251365661621,-5.440234184265137,10.070572853088379,6.689096450805664,7.8831400871276855,-0.6745304465293884,7.994606971740723
gsv_durnorm,13,r4_durnorm_gsv,r4,,,durnorm,gsv,5.441,7.821,4.469,8.605,runs/r4_durnorm_gsv/02_tts/13.wav,6.46,0.008648,0.0543,-41.12,1.69,0.005096,0.001883,0.079208,227.5,19.3,115.3,1469.0,990.0,2855.0,1484.0,638.0,0.084726,0.250569,0.0278,0.100927,0.084298,2.4236,3.2443,389.2,979.1,1197.0,0.3312,-532.482421875,132.22048950195312,78.99057006835938,55.776100158691406,2.0109262466430664,39.823692321777344,18.881317138671875,29.983304977416992,-14.698991775512695,24.907800674438477,3.730266571044922,16.48582649230957,-17.208621978759766,16.080657958984375,-16.601274490356445,13.18569564819336,-16.751323699951172,12.947357177734375,4.714766979217529,10.177021980285645,-21.697927474975586,14.639017105102539,10.465531349182129,6.927363395690918,-5.815760612487793,7.2829084396362305
gsv_durnorm,2,r4_durnorm_gsv,r4,,,durnorm,gsv,6.001,8.961,5.481,8.588,runs/r4_durnorm_gsv/02_tts/2.wav,5.06,0.007963,0.0555,-41.97,,0.00479,0.001764,0.069182,237.1,15.8,84.3,1414.0,969.0,2723.0,1408.0,611.0,0.076419,0.242644,0.0236,0.101876,0.082765,2.266,2.2211,443.6,1255.3,1802.2,0.2762,-532.5819702148438,110.82691955566406,82.88800811767578,53.315284729003906,-5.281388282775879,40.03927993774414,22.57425880432129,29.445363998413086,-12.231425285339355,21.260269165039062,-5.005166053771973,16.36463165283203,-18.219242095947266,14.67824649810791,-15.65738296508789,12.043378829956055,-21.745616912841797,13.68943977355957,3.6055517196655273,9.160444259643555,-15.638134002685547,11.151008605957031,3.307321548461914,7.032973289489746,-3.2722198963165283,6.299739837646484
